Sheet: Sheet1
[30 rows x 8 columns]
Column names: |equipment|Code|Cost|Universal healthcare|UCEP|Social Security|Civil Servant|Self pay
0|Angiogram|x|21600|21600|21600|21600|21600|0
1|Contrast media|x|1000|1000|1000|1000|1000|0
2|femoral sheath|4701|1238|600|800|800|800|0
3|Diagnostic catheter|4823|996|0|1000|700|700|0
4|0.038 Wire|4711|996|0|0|800|800|0
5|Exchange wire|4712|1827|770|770|2500|2500|0
6|mariner|4823|4241|0|1000|700|700|0
7|Destination longsheath|4708|5561|0|0|5000|5000|0
8|Fubuki Longsheath|4708|7761|0|0|5000|5000|0
9|NeuronMAX Longsheath|4708|17716|0|0|5000|5000|0
10|Softip guider|4715|5593|0|0|4000|3600|0
11|Echalon|4807|16561|0|20000|15000|11250|0
12|SL10|4807|17716|0|20000|15000|11250|0
13|Marathon|4807|16561|0|20000|12000|12000|0
14|Apollo|4807|25955|0|20000|15000|11250|0
15|Magic |4807|25471|0|20000|15000|11250|0
16|Copernic balloon |4808|58088|0|22000|22000|19800|0
17|Hyperglide balloon|4808|16561|0|22000|22000|19800|0
18|Synchro|4714|13261|0|0|12000|12000|0
19|Chikai 0007/014|4714|7211|0|0|12000|12000|0
20|Mirage|4714|10066|0|0|12000|12000|0
21|Neuroform ATLAS|4809|130631|0|120000|120000|114000|0
22|Fargo/ FargoMAX|4709|17386|0|16000|0|16000|0
23|Sofia 5F |4709|35261|0|16000|0|16000|0
24|ONYX |4819|27561|0|30000|28000|26000|0
25|NBCA |4820|1290|0|0|1000|950|0
26|Coil|4817|14911|13500|13500|22000|20000|0
27|Silk Vista|4809|220043|0|120000|120000|120000|0
28|Surpass|4809|259001|0|120000|120000|12000|0
29|Rhya|x|1270|0|0|0|0|0

